org,dashboard,dashboard_uid,folder_title,folder_id,folder_url,item_source,panel_id,item_id,item_name,url,includeVariables,issue
TEMPLATES BOOMERANG,Health Check,c537d751-d3fa-4713-952b-b7c0955aaf3d,TEMPLATES GL,3148,/dashboards/f/betzod8gc6vb4f/templates-gl,dashboard,,Reports,Reports,d/jis1fNISt/reports,True,target_uid_mismatch
TEMPLATES BOOMERANG,Health Check,c537d751-d3fa-4713-952b-b7c0955aaf3d2,TEMPLATE GL DE,3319,/dashboards/f/aewh3qkurokcgc/template-gl-de,dashboard,,Reports,Reports,d/jis1fNISt/reports,True,target_uid_mismatch
TEMPLATES BOOMERANG,Production History,c73c6405-8fe2-4bfd-b4d8-47657d88e7cd,TEMPLATES GL,3148,/dashboards/f/betzod8gc6vb4f/templates-gl,dashboard,,Reports,Reports,d/jis1fNISt/reports,True,target_uid_mismatch
TEMPLATES BOOMERANG,Production History,c73c6405-8fe2-4bfd-b4d8-47657d88e7cd2,TEMPLATE GL DE,3319,/dashboards/f/aewh3qkurokcgc/template-gl-de,dashboard,,Reports,Reports,d/jis1fNISt/reports,True,target_uid_mismatch
TEMPLATES EM,Health Check,c537d751-d3fa-4713-952b-b7c0955aaf3d2,TEMPLATE GL DE,3320,/dashboards/f/aewh459356eioc/template-gl-de,dashboard,,Reports,Reports,d/jis1fNISt/reports,True,target_uid_mismatch
TEMPLATES EM,Health Check,c537d751-d3fa-4713-952b-b7c0955aaf3d,TEMPLATES GL,3020,/dashboards/f/berf2grkrw8w0f/templates-gl,dashboard,,Reports,Reports,d/jis1fNISt/reports,True,target_uid_mismatch
TEMPLATES EM,Production History,c73c6405-8fe2-4bfd-b4d8-47657d88e7cd2,TEMPLATE GL DE,3320,/dashboards/f/aewh459356eioc/template-gl-de,dashboard,,Reports,Reports,d/jis1fNISt/reports,True,target_uid_mismatch
TEMPLATES EM,Production History,c73c6405-8fe2-4bfd-b4d8-47657d88e7cd,TEMPLATES GL,3020,/dashboards/f/berf2grkrw8w0f/templates-gl,dashboard,,Reports,Reports,d/jis1fNISt/reports,True,target_uid_mismatch
Double Eagle Central,Daily ESP Status,s6-EeN-Vz,Double Eagle,1613,/dashboards/f/aebynxfr2qvi8f/double-eagle,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time3a-quick-view?refresh=30s,False,"url_has_params,includeVars_false_or_missing,company_folder_not_found"
Double Eagle Central,Daily ESP Status,s6-EeN-Vz,Double Eagle,1613,/dashboards/f/aebynxfr2qvi8f/double-eagle,dashboard,,Health Check,Health Check,/d/fe60wxp5bfa4gc/health-check,False,"includeVars_false_or_missing,company_folder_not_found"
Double Eagle Central,Daily ESP Status,s6-EeN-Vz,Double Eagle,1613,/dashboards/f/aebynxfr2qvi8f/double-eagle,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?refresh=1m?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing,company_folder_not_found"
Double Eagle Central,Daily ESP Status,s6-EeN-Vz,Double Eagle,1613,/dashboards/f/aebynxfr2qvi8f/double-eagle,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?refresh=30s,False,"url_has_params,includeVars_false_or_missing,company_folder_not_found"
Double Eagle Central,Health Check,pStOWAcIk,Gas lift,1898,/dashboards/f/begchfgxw9mv4a/gas-lift,dashboard,,Reports,Reports,d/jisBHDfd2s3v/reports,True,company_folder_not_found
Double Eagle Central,Health Check,fe60wxp5bfa4gc,Double Eagle,1613,/dashboards/f/aebynxfr2qvi8f/double-eagle,dashboard,,Status,Status,/d/s6-EeN-Vz/daily-status?${Businessunit:queryparam}&${District:queryparam}&${County:queryparam}&${Area:queryparam}&${Lease:queryparam},False,"url_has_params,includeVars_false_or_missing,company_folder_not_found"
Double Eagle Central,Health Check,fe60wxp5bfa4gc,Double Eagle,1613,/dashboards/f/aebynxfr2qvi8f/double-eagle,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time-quick-view?refresh=5m&${Businessunit:queryparam}&${District:queryparam}&${County:queryparam}&${Area:queryparam}&${Lease:queryparam},False,"url_has_params,includeVars_false_or_missing,company_folder_not_found"
